                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     89,                0.86689,                 1.6048,                0.66039,                   1.03,                 0.5981,                0.49091,                0.44373,                0.21657,                0.56191,                0.49091,                0.38166,                0.15168,                 1.8204,                 4.0444,                 1.8047,                 1.6076,              0.0002774,              0.0002774,              0.0002774
                     90,                0.90194,                 1.7894,                0.72019,                 1.0358,                0.69857,                0.43636,                0.45944,                0.23725,                0.66519,                0.41818,                0.40463,                0.15875,                 1.7967,                 4.0506,                 1.8139,                 1.5867,              0.0002576,              0.0002576,              0.0002576
                     91,                0.85772,                 1.6786,                0.73458,                 1.0047,                0.70364,                0.43179,                0.45451,                0.23605,                0.67464,                0.41478,                0.39665,                0.15508,                  1.794,                 4.0494,                 1.8367,                 1.5814,              0.0002378,              0.0002378,              0.0002378
                     92,                0.79398,                 1.6358,                0.68558,                0.99962,                0.45307,                0.50909,                 0.4121,                0.22813,                0.56518,                0.45455,                0.40225,                0.15184,                 1.7813,                 4.1384,                 1.9132,                  1.571,               0.000218,               0.000218,               0.000218
                     93,                0.81839,                 1.4531,                0.67858,                0.95913,                0.53609,                0.43636,                0.41147,                0.22937,                0.55006,                0.43636,                0.38031,                0.14732,                 1.7871,                 4.1429,                 1.9304,                 1.5774,              0.0001982,              0.0001982,              0.0001982
                     94,                0.75528,                 1.4778,                 0.6437,                0.96411,                0.55377,                0.43636,                0.40136,                0.22631,                0.55377,                0.43636,                 0.3777,                0.14426,                  1.801,                  4.154,                 1.9178,                 1.5844,              0.0001784,              0.0001784,              0.0001784
                     95,                0.85647,                 1.5714,                0.73914,                0.99186,                0.57299,                0.43636,                0.39556,                0.22568,                0.59687,                0.45455,                0.39881,                0.14459,                 1.8079,                 4.1555,                 1.8924,                 1.5913,              0.0001586,              0.0001586,              0.0001586
                     96,                0.71099,                 1.4391,                0.60277,                 0.9493,                0.63797,                0.43636,                0.39636,                0.22001,                0.61109,                0.41818,                0.34028,                0.13671,                 1.8468,                 4.2069,                 1.8775,                 1.6373,              0.0001388,              0.0001388,              0.0001388
                     97,                0.82553,                 1.4895,                0.72259,                0.95896,                0.63904,                0.43636,                0.40838,                0.22269,                0.61241,                0.41818,                0.34454,                0.14119,                 1.8594,                 4.1969,                 1.8752,                 1.6577,               0.000119,               0.000119,               0.000119
                     98,                0.91403,                 2.1011,                 0.7796,                 1.0707,                 0.6525,                0.45455,                0.41398,                0.22221,                0.62575,                0.43636,                0.35276,                 0.1494,                 1.8279,                 4.2336,                 1.8516,                 1.6252,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.69895,                 1.7192,                0.62154,                  0.941,                0.65032,                0.45455,                0.42814,                0.23539,                0.62431,                0.43636,                0.36742,                0.15563,                 1.8185,                 4.1974,                 1.8231,                 1.6209,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.73503,                 1.4113,                0.56929,                0.93996,                0.63496,                0.45455,                0.41581,                0.23168,                0.60712,                0.43636,                0.35863,                0.15355,                  1.794,                 4.1683,                 1.8163,                 1.6223,               5.96e-05,               5.96e-05,               5.96e-05
